"huc12","CDL_name","areasqkm","pixel.coverage","percent.coverage"
"071300011502","Grass/Pasture",81.51,7150.91670621588,7.89574903152287
"071300030403","Grass/Pasture",72.64,5628.4142577927,6.97353088107576
"071300030506","Grass/Pasture",70.02,4126.18036915404,5.30357373927255
"071300040803","Grass/Pasture",69.09,3574.83067008358,4.65674859324826
"071300050106","Grass/Pasture",79.11,8353.71582417995,9.50365850304886
"071300050602","Grass/Pasture",80.34,5284.93120115623,5.92038596096665
"071300050803","Grass/Pasture",64,8813.10429664582,12.3934279171582
"071300050908","Grass/Pasture",94.65,9780.19478643977,9.29970978108377
"071300080303","Grass/Pasture",65.69,16992.7744353181,23.2813167784842
"071300080701","Grass/Pasture",67.86,8870.50496130654,11.7645954393986
"071300080702","Grass/Pasture",72,6903.50405022568,8.6293800627821
"071300080803","Grass/Pasture",76.21,7453.46539038257,8.80215044133882
"071300090403","Grass/Pasture",86.36,17742.7008697447,18.4905405080711
"071300100101","Grass/Pasture",82.66,11313.1137328468,12.3176897647739
"071300100102","Grass/Pasture",69.68,7733.82544495392,9.98915456437791
"071300100202","Grass/Pasture",87.64,12570.2582666256,12.9087544956219
"071300100204","Grass/Pasture",86.5,9457.0003060009,9.83965349757319
"071300100304","Grass/Pasture",71.34,6703.62367935066,8.4570525811825
"071300100306","Grass/Pasture",76.54,11656.3177210463,13.7061483524192
"071300100502","Grass/Pasture",87.99,17336.0908070372,17.7321078830929
"071300100701","Grass/Pasture",77.34,7604.02202117321,8.84874556381677
"071300100704","Grass/Pasture",71.07,12982.1910997419,16.4400900376639
"071300100802","Grass/Pasture",68.06,6273.84001993947,8.2962915338606
"071300101001","Grass/Pasture",84.54,14647.6226604086,15.5936366150553
"071300101003","Grass/Pasture",71.84,9448.09975349626,11.8364278649034
"071300101101","Grass/Pasture",72.8,17522.313927006,21.6622012833865
"071300120201","Grass/Pasture",83.17,7248.4681286795,7.84371926874059
"071300120206","Grass/Pasture",79.84,6417.42159369154,7.2340674277585
"071300120403","Grass/Pasture",64.5,5865.41864345456,8.18430508389008
"071300120501","Grass/Pasture",92.5,12048.3674978302,11.7227359438348
"071401050104","Grass/Pasture",92.78,18432.0178370959,17.8797327585539
"071401050204","Grass/Pasture",81.77,20468.8229985848,22.5289723599441
"071401060202","Grass/Pasture",68.4,10845.8851218689,14.2709014761433
"071401060204","Grass/Pasture",89.28,12127.4234108555,12.2252252125559
"071401060304","Grass/Pasture",68.74,9536.69391511542,12.4862154838578
"071401060402","Grass/Pasture",80.09,13371.1250637321,15.0256118833299
"071401061003","Grass/Pasture",92.44,9859.97915761999,9.5997200798983
"071401061005","Grass/Pasture",87.08,10256.5648061296,10.6004918758804
"071402010206","Grass/Pasture",76.39,5557.618794095,6.54779017500393
"071402010902","Grass/Pasture",71.87,7012.63377179555,8.78164796802003
"071402020101","Grass/Pasture",75.01,4870.47918646736,5.8437958509807
"071402020102","Grass/Pasture",66.29,6841.85370308966,9.28898526592351
"071402020103","Grass/Pasture",93.58,8757.49111422824,8.42246420475039
"071402020201","Grass/Pasture",75.67,10750.4898059654,12.7863629250282
"071402020202","Grass/Pasture",64.7,10321.2066360159,14.3571653360345
"071402020503","Grass/Pasture",64.26,6374.63740254712,8.92806358900157
"071402020601","Grass/Pasture",77.29,10910.4224592545,12.7045933669673
"071402020705","Grass/Pasture",79.97,4340.56194416442,4.88496404870324
"071402020804","Grass/Pasture",90.64,15524.4648936398,15.4148481953617
"071402020808","Grass/Pasture",89.85,6347.84576458856,6.35844316987168
"071402030402","Grass/Pasture",90.16,8735.64114058512,8.72013867183519
"071402030504","Grass/Pasture",77.43,5746.59047451627,6.67949299633817
"071402040202","Grass/Pasture",71.86,6032.18241641977,7.55491813912857
"071402040301","Grass/Pasture",88.06,8889.79030892137,9.08563624577474
"071402040611","Grass/Pasture",65.75,6762.17434115586,9.2562082236354
"071402040704","Grass/Pasture",75.46,13383.8625987167,15.9627303721774
"071402040903","Grass/Pasture",67.19,3409.43483764854,4.56688696812574
